姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
吴政隆,男,汉族,江苏南京,1964年11月,中北大学,"工学学士学位,高级工程师","江苏省委副书记、省长、省政府党组书记,江苏省总河长","1980.09—1984.08,太原机械学院（现中北大学）机械工程系机械制造工艺与设备专业学习
1984.08—1987.01,兵器工业部民品办公室干部（其间：1984.08—1985.02,内蒙古第一机器制造厂实习）
1987.01—1988.04,国家机械工业委员会发展规划司干部
1988.04—1990.12,机械电子工业部综合计划司干部
1990.12—1993.12,机械电子工业部、机械工业部办公厅秘书
1993.12—1998.03,机械工业部办公厅副处级秘书、正处级秘书
1998.03—1999.06,国家发展计划委员会办公厅正处级秘书
1999.06—1999.12,中国机械装备集团公司办公室主任
1999.12—2002.12,重庆市政府办公厅副主任
2002.12—2003.02,重庆市万州区委副书记、代区长
2003.02—2007.02,重庆市万州区委副书记、区长（其间：2005.06—2005.09,参加国务院发展研究中心、美国哈佛大学、清华大学公共管理高级培训班学习）
2007.02—2007.05,重庆市万州区委书记
2007.05—2013.05,重庆市委常委、万州区委书记（其间：2009.09—2009.11,中央党校第46期省部级干部进修班学习；2011.06—2011.12,兼任万州经济技术开发区党工委书记）
2013.05—2013.11,重庆市委常委、秘书长,市直机关工委书记,万州区委书记
2013.11—2014.09,重庆市委常委、秘书长,市直机关工委书记（其间：2014.01—2014.09,兼任市委改革办主任）
2014.09—2016.09,山西省委常委、太原市委书记
2016.09—2016.10,江苏省委副书记、南京市委书记
2016.10—2017.05,江苏省委副书记、南京市委书记兼南京市江北新区党工委书记
2017.05—2017.07,江苏省委副书记、代省长、省政府党组书记
2017.07—,江苏省委副书记、省长、省政府党组书记"
邱学强,男,汉族,山东莘县,1957年8月,中央党校,中央党校研究生学历,"最高人民检察院副检察长、党组副书记、检察官遴选委员会副主任、检察委员会委员,一级大检察官","1975.07—1978.11,青海省玉树州委办公室通讯员、秘书
1978.11—1987.10,青海省玉树州人民检察院干部、助理检察员、副检察长（1986.06明确为县长级）
1987.10—1989.01,青海省委打击经济犯罪办公室副主任
1989.01—1991.07,青海省人民检察院干部、检察员、经济检察处处长、检察委员会委员（1988.08—1991.07青海广播电视大学法律〈检察〉专业学习）
1991.07—1993.12,青海省委政法委秘书长（副厅级）（其间：1991.09—1991.11青海省委党校厅局级干部进修班学习）
1993.12—1995.12,最高人民检察院贪污贿赂检察厅副厅级干部、副厅长
1995.12—1997.05,最高人民检察院法纪检察厅厅长
1997.05—1999.08,最高人民检察院检察委员会委员、法纪检察厅厅长（1996.12—1998.11中国社会科学院研究生院投资系投资管理专业研究生课程班学习）
1999.08—1999.12,最高人民检察院党组成员、检察委员会委员、法纪检察厅厅长
1999.12—2000.02,最高人民检察院党组成员、检察委员会委员
2000.02—2001.06,最高人民检察院党组成员、政治部主任、检察委员会委员
2001.06—2002.09,最高人民检察院副检察长、党组成员、检察委员会委员
2002.09—2007.10,最高人民检察院副检察长、党组副书记、检察委员会委员(其间：2004.03—2006.01中央党校在职研究生班法学理论专业学习)
2007.10—2017.06,最高人民检察院副检察长、党组副书记（2011.11明确正部长级）、检察委员会委员,一级大检察官（其间：2010.11—2011.01、2013.05—2013.07中央党校省部级干部进修班学习）
2017.06—,最高人民检察院副检察长、党组副书记、检察官遴选委员会副主任、检察委员会委员,一级大检察官"
何平,男,汉族,,,,,中国人民解放军东部战区政委,"—2017.09,历任中国人民解放军成都军区驻滇14集团军副政委 、成都军区政治部副主任、总参谋部某部政委, 中国人民解放军西部战区副政委。
2017.09—,中国人民解放军东部战区政委"
何立峰,男,汉族,广东兴宁,1955年2月,厦门大学,经济学博士,国家发展和改革委员会主任、党组书记,"1973.08—1976.11,福建省永定县立新知青场插队知青；
1976.11—1978.02,福建省永定县狮象潭水电站工人；
1978.02—1982.02,厦门大学经济系财政金融专业学生；
1982.02—1984.08,厦门大学财政金融系财政学专业硕士研究生；
1984.08—1984.10,任厦门市经济特区经济研究所干部；
1984.10—1985.11,任厦门市政府办公室干部、副主任；
1985.11—1990.10,任厦门市财政局副局长、局长；
1990.10—1992.12,任厦门市杏林区委书记；
1992.12—1995.02,任厦门市副市长（其间：1993.12兼任市经贸委主任,1994.02确定为正厅级）；
1995.02—2000.03,任泉州市委副书记、代市长、市长、市委书记（其间：1995.09—1998.07,在厦门大学财政金融系财政学专业学习,获经济学博士学位）；
2000.03—2001.12,任福州市委书记；
2001.12—2005.05,任福建省委常委、福州市委书记；
2005.05—2009.04,任福建省委常委、厦门市委书记、市人大常委会主任；
2009.04—2009.05,任天津市委副书记；
2009.05—2009.12,任天津市委副书记兼市委滨海新区工委书记、市滨海新区管委会主任、党组书记,塘沽区委书记；
2009.12—2013.01,任天津市委副书记兼滨海新区区委书记；
2013.01—2013.04,任天津市委副书记,市政协主席、党组书记；
2013.04—2014.06,任天津市政协主席、党组书记；
2014.06—2017.02,任国家发展和改革委员会党组副书记、副主任（正部长级）；
2017.02—,任国家发展和改革委员会主任、党组书记。"
应勇,男,汉族,浙江仙居,1957年11月,中央党校,法学硕士,"上海市委副书记、市长,上海国际旅游度假区管委会主任,中国浦东干部学院第一副院长,上海市总河长","1976.12 — 1977.04, 浙江省黄岩县澄江工商行政管理所办事员
1977.04 — 1982.05, 黄岩县澄江派出所办事员、副所长
1982.05 — 1983.06, 黄岩县城关镇党委委员、镇派出所所长
1983.06 — 1983.11, 黄岩县城关镇党委副书记、镇长
1983.11 — 1984.09, 台州地区行署公安处副处长、党组(委)副书记
1984.09 — 1986.07, 中国政法大学法律专修科学习
1986.07 — 1992.01, 浙江省台州地区行署公安处处长、党组(委)书记
1992.01 — 1992.03, 台州地委委员,行署公安处党委书记、处长
1992.03 — 1992.08, 台州地委委员、政法委书记,行署公安处党委书记、处长
1992.08 — 1993.04, 绍兴市委常委,市公安局党委书记、局长
1993.04 — 1995.05, 绍兴市委常委、政法委书记,市保密委主任,市综治委主任,市公安局党委书记、局长
1995.05 — 1999.04, 浙江省公安厅副厅长、党委委员,省禁毒办主任(其间:1995.12—1997.06在杭州大学法学专业学习,获法学硕士学位;1997.04—1998.12参加省高等教育法律专业自考学习)
1999.04 — 2003.07, 浙江省公安厅党委副书记、副厅长(正厅级),省禁毒办主任,省反恐办主任(其间:1997.09 — 2000.07在浙江大学行政管理学专业函授本科学习)
2003.07 — 2003.09, 浙江省纪委副书记
2003.09 — 2005.12, 浙江省纪委副书记、省监察厅厅长(其间:2003.10在中央党校新任纪检监察领导干部专题研究班学习)
2005.12 — 2006.01, 浙江省高级人民法院党组书记、代院长,省纪委副书记、省监察厅厅长
2006.01 — 2006.11, 浙江省高级人民法院院长、党组书记,省纪委副书记
2006.11 — 2007.12, 浙江省高级人民法院院长、党组书记
2007.12 — 2008.01, 上海市高级人民法院党组书记
2008.01 — 2013.04, 上海市高级人民法院院长、党组书记(其间:2010.11 — 2011.01在中央党校省部级干部第48期进修班学习)
2013.04 — 2014.06, 上海市委常委、组织部长
2014.06 — 2014.08, 上海市委副书记、组织部长
2014.08 — 2016.09, 上海市委副书记
2016.09 — 2017.01, 上海市委副书记,市政府常务副市长
2017.01—, 上海市委副书记、市长"
魏凤和,男,汉族,山东茌平,1954年2月,国防大学,合同战役指挥专业,中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员,"1970.12—1990.05,中国人民解放军第二炮兵部队战士,班长,排长,作训股参谋,作训股股长,旅司令部作训科科长,旅副参谋长、旅党委委员（其间：1982—1984,在中国人民解放军第二炮兵指挥学院指挥系大专班学习）；
1990.05—1994.04,中国人民解放军第二炮兵部队旅参谋长、旅党委常委；
1994.04—2001.07,中国人民解放军第二炮兵部队旅长、旅党委副书记（其间：1994—1997,在中国人民解放军第二炮兵指挥学院指挥专业函授本科学习；1997.03—1997.07,在中国人民解放军国防大学优秀师团职干部本科培训班学习）；
2001.07—2002.12,中国人民解放军第二炮兵部队第五十四基地参谋长、基地党委常委；
2002.12—2004.12,中国人民解放军第二炮兵部队第五十三基地司令员、基地党委副书记；
2004.12—2006.12,中国人民解放军第二炮兵部队副参谋长、第二炮兵部队党委委员；
2006.12—2010.12,中国人民解放军第二炮兵部队参谋长、第二炮兵部队党委常委；
2010.12—2012.10,中国人民解放军副总参谋长、总参谋部党委委员；
2012.10—2012.11,中国人民解放军第二炮兵司令员； 
2012.11—2013.03,中国人民解放军第二炮兵司令员、中国共产党中央军事委员会委员；
2013.03—2015.12,中华人民共和国中央军事委员会委员,中国共产党中央军事委员会委员,中国人民解放军第二炮兵司令员；
2015.12—2017.09,中国人民解放军火箭军司令员、中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员。 
2017.09—,中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员。"
穆虹,男,汉族,辽宁省大连市,1956年12月,,,"中央全面深化改革领导小组办公室常务副主任,兼任国家发展和改革委员会副主任、党组成员","1976.03—1978.10, 北京市延庆县大柏老公社插队知青。
1978.10—1982.07, 中央财政金融学院金融系金融专业学习。
1982.07—1988.05, 国家计委固定资产投资局干部。
1988.05—1994.06, 国家计委固定资产投资司综合处副
处长（其间：1992.03—1992.07 在中央党校中央国家机关分校国家计委班学习）。
1994.06—1996.10, 国家计委固定资产投资司综合处处长（其间：1996.01—1996.03 在美国斯坦福大学学习）。
1996.10—1997.05, 国家计委固定资产投资司技改处处长。
1997.05—1998.06, 国家计委固定资产投资司副司长。
1998.06—2001.07, 国家计委投资司副司长。
2001.07—2003.04, 国家计委国外资金利用司司长。
2003.04—2004.11, 国家发展和技改革委员会国外资金利用司司长。
2004.11—2005.12, 广西壮族自治区人民政府主席助理、党组成员,自治区发展和改革委员会主任、党组书记。
2005.12—2007.12,广西壮族自治区人民政府副主席、党组成员,自治区发展和改革委员会主任、党组书记。
2007.12—2014.01,国家发展和改革委员会副主任、党组成员。
2014.01—2014.12,中央全面深化改革领导小组办公室专职副主任,兼任国家发展和改革委员会副主任、党组成员。
2014.12—,任中央全面深化改革领导小组办公室常务副主任,兼任国家发展和改革委员会副主任、党组成员（正部长级）"
潘立刚,男,汉族,北京市,1956年5月,大连海运学院,工学学士,十二届全国政协常务副秘书长、机关党组副书记,"1975.04—1978.03,北京平谷县镇罗营大队插队；
1978.03—1981.12,大连海运学院（大连海事大学）学习；
1981.12—1984.01,中国远洋运输总公司、交通部海上运输高级法院筹备组干部；
1984.01—2004.03,中央组织部经济干部局、中央机关干部局、经济科教干部局干部,经济科教干部局二处副处级调研员、二处副处长、二处处长、副局级调研员、副局长、企业干部办公室副主任、干部四局局长、中央组织部人才工作机构筹备组长；
2004.03—2006.03,中央组织部人才工作局长、中央人才工作协调小组办公室主任；
2006.03—2006.09,湖北省委组织部部长；
2006.09—2008.03,湖北省委常委、组织部部长；
2008.03—2010.05,湖北省委常委、组织部部长、省委党校校长、湖北行政学院院长；
2010.06—2013.03,中央组织部部务委员、干部二局（地方干部局）局长；
2013.03—2013.05,中央组织部副部长；
2013.05—2016.06,中央组织部副部长,兼任人力资源社会保障部副部长、党组成员；
2016.06—2016.08,全国政协机关党组副书记（正部长级） 
2016.08—,十二届全国政协常务副秘书长、机关党组副书记（正部长级）"
黎火辉,男,汉族,江西丰城,1963年,,,中央军委训练管理部部长," —2011.1,曾任中国人民解放军南京军区军训和兵种部副部长（2006担任该职务时还曾在国防大学基本系学习）,中国人民解放军福建省军区海防某师师长等职务；
2011.1—2015.5,任中国人民解放军第12集团军参谋长。
2015—2017,任中国人民解放军第31集团军军长。
2017.1,已任中央军委训练管理部部长。"
雒树刚,男,汉族,河北南宫,1955年5月,中央党校,中央党校研究生,"文化部党组书记、部长,中国思想政治工作研究会会长","1978.10—1982.7,在中国人民大学科学社会主义系学习,
1983.9—1986.7,在中共中央党校理论部党建专业学习。
1986—2000,历任《求是》杂志社政治理论部主任,中共中央宣传部政策法规研究室主任、副秘书长兼理论局局长。
2000.3—2008.5,任中共中央宣传部副部长,
2008.5—2014.12,任中共中央宣传部常务副部长兼中央精神文明建设指导委员会办公室主任。
2014.12,任文化部党组书记、部长。"
冷溶,男,汉族,山东平度,1953年8月,北京大学,哲学,"中国共产党第十九届中央委员会委员,中央文献研究室主任","1969.09—1973.01, 黑龙江生产建设兵团第五师战士。
1973.01—1974.01, 北京第二机床厂工人。
1974.01—1979.09, 北京第二机床厂政治部宣传科干事（期间：1975.01—1976.10 参加北京市机械局哲学进修班学习）。
1979.09—1983.08, 北京大学哲学系哲学专业学习。
1983.08—1988.03, 中央文献研究室综合组邓小平研究小组编辑、副组长。
1988.03—1992.09, 中央文献研究室邓小平研究组著作小组副组长。
1992.09—1994.06, 中央文献研究室邓小平研究组副组长兼著作小组组长（副局级）。
1994.06—1995.06, 中央文献研究室室务委员兼邓小平研究组副组长、第三编研部副主任（副局级）。
1995.06—1997.11, 中央文献研究室室务委员兼第三编研部主任。
1997.11—2001.10, 中央文献研究室副主任（期间：2000.01—2001.02 挂职任中共山东省济南市委副书记）。
2001.10—2004.11, 中央文献研究室常务副主任。
2004.11—2007.12, 中国社会科学院党组副书记、常务副院长（正部长级,2005.12—2007.01 兼任马克思主义研究院院长并担任学部委员、学部主席团主席）。
2007.12—2009.2, 中共中央文献研究室主任。
2008.10—,当选中国科学社会主义学会会长。
2009.02—,当选中国中共文献研究会会长。
中共十六大、十七大、十九大代表,中国共产党第十七届中央委员会候补委员,中国共产党第十八届、十九届中央委员会委员,第十届全国人大常委会委员、全国人大法律委员会委员。"
汪洋,男,汉族,安徽宿州,1955年3月,中央党校,工学硕士,"中央政治局常委,国务院副总理、党组成员","1972—1976,　安徽省宿县地区食品厂工人、车间负责人
1976—1979,　安徽省宿县地区“五七”干校教员,教研室副主任,校党委委员
1979—1980,　中央党校理论宣传干部班政治经济学专业学习
1980—1981,　安徽省宿县地委党校教员
1981—1982,　共青团安徽省宿县地委副书记
1982—1983,　共青团安徽省委宣传部部长
1983—1984,　共青团安徽省委副书记
1984—1987,　安徽省体委副主任、党组副书记
1987—1988,　安徽省体委主任、党组书记
1988—1992,　安徽省铜陵市委副书记、代市长、市长（其间：1989—1992,中央党校函授学院本科班党政管理专业在职学习）
1992—1993,　安徽省计委主任、党组书记,省长助理
1993—1993,　安徽省副省长
1993—1998,　安徽省委常委、副省长（其间：1993—1995,中国科技大学管理科学系管理科学专业研究生课程班在职学习,获工学硕士学位；1997.03—1997.05,中央党校省部级干部进修班学习）
1998—1999,　安徽省委副书记、副省长
1999—2003,　国家发展计划委员会副主任、党组成员（其间：2001.09—2001.11中央党校省部级干部进修班学习）
2003—2005,　国务院副秘书长（负责国务院办公厅常务工作,正部长级）、机关党组副书记
2005—2006,　重庆市委书记
2006—2007,　重庆市委书记、市人大常委会主任
2007—2007,　中央政治局委员,重庆市委书记、市人大常委会主任
2007—2012,　中央政治局委员,广东省委书记
2012—2013,　中央政治局委员
2013—2017,　中央政治局委员,国务院副总理、党组成员
2017—　中央政治局常委,国务院副总理、党组成员"
汪永清,男,汉族,江西贵溪,1959年9月,吉林大学,法学博士,"中国共产党第十九届中央委员会委员,中央政法委秘书长,国务院副秘书长、机关党组成员","1975.07—1979.09,江西省贵溪县新田公社黄墩手工业综合服务厂学徒,黄墩中小学会计、民办教师
1979.09—1981.09,江西省贵溪县第一中学学习
1981.09—1985.09,吉林大学法律系法律专业学习
1985.09—1987.07,北京大学法律系法学理论专业研究生
1987.07—1991.01,国务院法制局研究室干部、主任科员
1991.01—1993.08,国务院法制局研究室二处副处长
1993.08—1996.06,国务院法制局办公室研究处处长（1992.09—1993.09,在河北省秦皇岛市税务局挂职任局长助理）
1996.06—1997.10,国务院法制局办公室副主任
1997.10—1998.08,国务院法制局办公室主任
1998.08—1999.06,国务院法制办公室秘书行政司（研究司）副司长（主持工作）、机关党委副书记（1998.12）
1999.06—2001.07,国务院法制办公室秘书行政司（研究司）司长、机关党委副书记 （1998.09—1999.07,在中央党校一.制中青.干部培训班学习）
2001.07—2003.06,国务院法制办公室党组成员、秘书行政司（研究司）司长、机关党委副书记
2003.06—2004.12,国务院法制办公室副主任、党组成员兼秘书行政司（研究司）司长、机关党委副书记
2004.12—2008.01,国务院法制办公室副主任、党组成员兼机关党委书记（2005.01）（其间：2005.08—2008.07,吉林大学法学院法学理论专业博士研究生；2006.09—2006.12,美国哈佛大学肯尼迪政府学院高级研究员）
2008.01—2012.06,国务院副秘书长、国务院机关党组成员
2012.06—2012.08,中央国家机关工委副书记（主持常务工作,正部长级）
2012.08—2012.11,中央国家机关工委副书记（主持常务工作,正部长级）兼中央国家机关党校校长、中央党校中央国家机关分校校长
2012.11—2013.04,中央机构编制委员会委员、办公室主任
2013.04—,中央政法委员会委员、秘书长,国务院副秘书长、机关党组成员（2014.7兼任中央综治委副主任）"
沈金龙,男,汉族,上海南汇,1956年10月,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军海军司令员"," —2011,历任驱逐舰第10支队支队长,旅顺保障基地司令员,大连舰艇学院院长等职。
2011—,任中国人民解放军海军指挥学院院长。
2014.8—,任中国海军舰艇编队编队指挥员、副司令员。
2014.12—,任南海舰队司令员。
2016.07—,晋升为海军中将军衔。
2017.1—,任中国人民解放军海军司令员。
党的十九大代表、中国共产党第十九届中央委员会委员"
沈晓明,男,汉族,浙江绍兴,1963年5月,上海第二医科大学,医学博士,"中国共产党第十九届中央委员会委员,海南省委副书记,省政府省长、党组书记","1979.09—1984.09,温州医学院儿科系儿科专业学习
1984.09—1987.07,温州医学院儿科系儿科专业硕士研究生学习
1987.07—1987.11,浙江医科大学附属第一医院住院医师
1987.11—1988.02,温州医学院儿科系助教
1988.02—1991.02,上海第二医科大学儿科系儿童保健学专业博士研究生学习
1991.02—1996.05,上海第二医科大学附属新华医院儿科医学研究所主治医师、副研究员、副教授（其间：1994.03—1996.05,美国纽约爱因斯坦医学院博士后）
1996.05—1998.07,上海儿童医学中心研究员、教授、副院长、常务副院长
1998.07—2003.03,上海第二医科大学附属新华医院副院长、院长,上海儿童医学中心院长
2003.03—2005.07,上海第二医科大学校长
2005.07—2006.02,上海交通大学常务副校长兼医学院院长
2006.02—2006.04,上海市科教工作党委副书记,市教委党组书记,上海交通大学常务副校长
2006.04—2008.01,上海市科教工作党委副书记,市教委主任
2008.01—2013.05,上海市副市长、上海张江高新技术开发区管委会主任
2013.05—2013.06,上海市副市长、浦东新区区委书记
2013.06—2015.03,上海市委常委、浦东新区区委书记
2015.03—2016.09,上海市委常委、浦东新区区委书记,中国（上海）自由贸易试验区管理委员会主任
2016.09—2017.03,教育部副部长、党组副书记
2017.03—2017.04,海南省委副书记
2017.04—2017.05,海南省委副书记,省政府代省长、党组书记
2017.05—,海南省委副书记,省政府省长、党组书记
中国共产党第十九届中央委员会委员,党的十九大代表。"
沈跃跃,女,汉族,浙江宁波,1957年1月,中央党校,经济管理,"中国共产党第十九届中央委员会委员,十二届全国人大常委会副委员长,全国妇联主席","1977—1978,浙江省宁波市镇安副食品商店职工
1978—1980,浙江省宁波师范专科学校数学系学习
1980—1983,浙江省宁波七中教师、团委副书记
1983—1984,浙江省宁波团市委副书记
1984—1986,浙江省宁波团市委书记
1986—1991,浙江团省委副书记（其间：1990.09—1991.07,中央党校一.制中青.干部培训班学习）
1991—1993,浙江团省委书记（1990—1992,中央党校函授学院经济管理专业本科班学习）
1993—1997,浙江省杭州市委副书记
1997—1998,浙江省绍兴市委书记（1995—1998,中央党校经济管理专业在职研究生班学习）
1998—1999,浙江省委常委、组织部副部长
1999—2001,浙江省委常委、组织部部长
2001—2002,安徽省委副书记
2002—2003,中央组织部副部长
2003—2007,中央组织部副部长兼机关党委书记（2005.08）,人事部副部长、党组成员
2007—2007,中央组织部主持常务工作的副部长（正部长级）兼机关党委书记,人事部副部长、党组成员
2007—2013,中央组织部主持常务工作的副部长（正部长级）
2013—,十二届全国人大常委会副委员长,全国妇联主席"
沈德咏,男,汉族,江西修水,1954年3月,中国政法大学,法学硕士,"中国共产党第十九届中央委员会委员,最高人民法院党组副书记（正部长级）、常务副院长、审判委员会委员,一级大法官","1972.02—1975.02,江西省修水县白岭公社团委副书记
1975.02—1977.12,江西省师范学院外语系英语专业学习
1977.12—1980.09,江西省师范学院外语系干部、团总支书记
1980.09—1983.08,中国政法大学研究生院刑事诉讼法专业硕士研究生
1983.08—1988.09,中共江西省委政法委干部、调研室副主任
1988.09—1993.03,江西省高级人民法院刑事审判第一庭庭长、审判委员会委员（其间：1992.02—1992.06,江西省委党校青.干部培训班学习）
1993.03—1997.02,江西省高级人民法院副院长、党组成员、审判委员会委员（其间：1995.09—1996.01,中央党校地厅级干部进修班学习；1996.09正厅级）
1997.02—1998.10,中共江西省纪律检查委员会委员、常委、副书记
1998.10—1998.12,最高人民法院党组成员
1998.12—2006.11,最高人民法院副院长、党组成员、审判委员会委员,二级大法官（其间：1999.09—1999.11,中央党校省部级干部进修班学习；2005.03—2005.05,中央党校省部级干部进修班学习）
2006.11—2008.04,上海市委常委、市纪委书记
2008.04—,最高人民法院党组副书记（正部长级）、常务副院长、审判委员会委员,一级大法官"
怀进鹏,男,汉族,黑龙江哈尔滨,1962年12月,"哈尔滨工业大学,北京航空航天大学",工学博士,"中国共产党第十九届中央委员会委员,中国科学技术协会党组书记、常务副主席、书记处第一书记","1980.09—1984.09,吉林工业大学计算机科学与工程系计算机应用专业学习；
1984.09—1987.09,哈尔滨工业大学电气工程系模式识别与智能控制专业硕士研究生；
1987.09—1994.06,北京航空航天大学计算机系教师（其间：1990.09—1993.12,在北京航空航天大学计算机科学与工程系计算机软件专业学习,获工学博士学位）；
1994.06—1997.06,北京航空航天大学计算机系副主任（其间：1995.09—1996.09,美国哥伦比亚大学高级访问学者）；
1997.06—2000.12,北京航空航天大学计算机系主任；
2000.12—2003.01,北京航空航天大学党委副书记、副校长；
2003.01—2003.04,北京航空航天大学党委常委、副校长；
2003.04—2009.05,北京航空航天大学党委常委、常务副校长（2006.02明确为正局级）（其间：2008.03—2008.07,在中央党校中青.干部培训一班学习）；
2009.05—2015.02,北京航空航天大学党委副书记、校长（副部长级）（2009.11当选中国科学院院士；2011.09—2011.11,在中央党校第50期省部级干部进修班学习）；
2015.02—2016.12,工业和信息化部副部长、党组成员,中央人才工作协调小组成员（2015.06）；
2016.12—2017.08,天津市委副书记；
2017.08—2017.09,中国科学技术协会党组书记；
2017.09—,中国科学技术协会党组书记、常务副主席、书记处第一书记。
十二届全国人大代表,中国共产党第十九届中央委员会委员,党的十九大代表。"
宋丹,男,汉族,云南昆明,1956年7月,西南政法大学,,"中国共产党第十九届中央委员会委员,中央军委政法委书记,中央政法委委员","1978—1982,在西南政法学院学习；毕业后在昆明军区保卫处工作,先后任中央军委法制局组长、副局长；
2007.7—2010,任军委法制局局长（副军职）；
2010—2016,任军委办公厅副主任。
2016.5—,任中央军委纪律检查委员会副书记。
2017.3—,任中央军委政法委书记,中央政法委委员。
中国共产党第十九届中央委员会委员,党的十九大代表。"
宋涛,男,汉族,江苏宿迁,1955年4月,福建师范大学,经济学博士,"中国共产党第十九届中央委员会委员,中央对外联络部部长","1973.03—1978,到福建省沙县插队。
1978.—2001,先后在福建林学院、福建省轻工业研究所、福建省罗源县、福建省轻纺工业总公司、福建省国际信托投资公司工作,历任系副主任、组织部长、研究所所长、县委副书记、总经理助理、副总裁,其间于1988.09—1991.08,赴澳大利亚莫纳西大学学习。
2001—2008,历任驻印度使馆参赞、驻圭亚那大使、外交部国外工作局局长、驻菲律宾大使。
2008.08—,任外交部纪委书记、党委委员。
2011.09—,任外交部副部长。
2013.11—,任中央外事工作领导小组办公室副主任。
2014.09—,任中央外事工作领导小组办公室主持常务工作的副主任（正部长级）。
2015.11—,任中央对外联络部部长。
中国共产党第十九届中央委员会委员,党的十九大代表"
宋秀岩,女,汉族,辽宁辽阳,1955年10月,中央党校,经济管理,"中国共产党第十九届中央委员会委员,全国妇联党组书记、副主席、书记处第一书记","1971—1976,　西宁铁路分局电务段报务领班、团支部书记。
1976—1983,　西宁铁路分局政治部宣传部干部、副部长。
1983—1983,　共青团青海省委副书记。
1983—1988,　共青团青海省委书记（其间：1985.09—1987.07中国青.政治学院政治教育专业学习）。
1989—1992,　青海省海东地委副书记。
1992—1993,　青海省劳动人事厅副厅长。
1993—1995,　青海省统计局局长、党组书记。
1995—1995,　青海省委常委。
1995—1998,　青海省委常委、统战部部长（1993.08—1995.12中央党校函授学院青海分院领导干部班经济管理专业学习）。
1998—2000,　青海省委常委、组织部部长。
2000—2004,　青海省委副书记、省委党校校长（2003.05）（其间：2002.09—2002.12中央党校省部级干部进修班学习）（1998.09—2001.07中央党校函授学院省部级干部在职研究生班政治学专业学习）。
2004—2005,　青海省委副书记、代省长。
2005—2009,　青海省委副书记、省长。
2010—,　全国妇联党组书记、副主席、书记处第一书记,国务院妇女儿童工作委员会副主任兼办公室主任（2010.03）,中央精神文明建设指导委员会委员（2010.12）,中央社会管理综合治理委员会委员（2011.08）。
中国共产党第十五届、十六届中央候补委员,中国共产党十七届、十八届、十九届中央委员会委员。
第十届、十一届全国人大代表。党的十九大代表。"
张军,男,汉族,山东博兴,1956年10月,"吉林大学,中国人民大学",法学博士,"中国共产党第十九届中央委员会委员,司法部部长、党组书记,中央政法委委员","1973.01—1975.10,吉林省农安县合隆公社知青、朱家园子大队革委会副主任
1975.10—1978.08,共青团吉林省长春市委宣传部干部
1978.08—1982.08,吉林大学法律系法律专业学习
1982.08—1985.08,中国人民大学法律系刑法专业硕士研究生
1985.08—1995.01,最高人民法院研究室综合处、刑事处书记员,刑事处副处长、助理审判员、处长、审判员（其间：1990.09—1991.01,中央党校中央国家机关分校学习；1991.11—1992.11,挂职北京市海淀区人民法院锻炼）
1995.01—1998.11,最高人民法院研究室副主任
1998.11—2000.08,最高人民法院审判委员会委员、刑事审判第一庭庭长
2000.08—2001.12,最高人民法院审判委员会委员、刑事审判第二庭庭长（2000.03—2001.01,中央党校一.制中青.干部培训班学习）
2001.12—2003.06,最高人民法院副院长、党组成员、审判委员会委员（2001.08—2002.07,挂职任北京市高级人民法院副院长、党组副书记）
2003.06—2005.08,司法部副部长、党组成员（其间：2004.03—2004.07,中央党校省部级干部进修班学习）
2005.08—2007.10,最高人民法院副院长、党组成员、审判委员会委员（2004.09—2006.12,武汉大学法学院刑法学专业在职研究生学习,获法学博士学位）
2007.10—2008.04,中央纪委常委,最高人民法院副院长、党组成员、审判委员会委员
2008.04—2012.11,中央纪委常委,最高人民法院副院长、党组副书记（2011.11明确为正部长级）、审判委员会委员（其间：2011.09—2011.10,中央党校省部级干部进修班学习）
2012.11—2017.02,中央纪委副书记
2017.02—,司法部部长、党组书记,中央政法委委员。
第十七届中央纪委委员、常委,2012.11补选为中央纪委副书记,十八届中央纪委委员、常委、副书记,党的十九大代表、中国共产党第十九届中央委员会委员。"
